country_exposure	United Arab Emirates	62966
country_exposure	Argentina	260911
country_exposure	Australia	22127
country_exposure	Austria	22245
country_exposure	Belgium	75008
country_exposure	Bangladesh	263503
country_exposure	Bulgaria	13722
country_exposure	Bosnia and Herzegovina	14708
country_exposure	Brazil	3109630
country_exposure	Canada	122389
country_exposure	Chile	376616
country_exposure	China	84778
country_exposure	Cameroon	18213
country_exposure	Democratic Republic of the Congo	9499
country_exposure	Colombia	410453
country_exposure	Costa Rica	24508
country_exposure	Cyprus	1277
country_exposure	Czech Republic	18783
country_exposure	Germany	219540
country_exposure	Denmark	14959
country_exposure	Dominican Republic	81094
country_exposure	Algeria	36204
country_exposure	Ecuador	98676
country_exposure	Egypt	95834
country_exposure	Spain	337018
country_exposure	France	235784
country_exposure	United Kingdom	312789
country_exposure	Georgia	1264
country_exposure	Gambia	1346
country_exposure	Greece	5942
country_exposure	Hong Kong	4181
country_exposure	Croatia	5740
country_exposure	Hungary	4746
country_exposure	Indonesia	128776
country_exposure	India	2329638
country_exposure	Ireland	26801
country_exposure	Iran	331189
country_exposure	Israel	86593
country_exposure	Italy	251385
country_exposure	Japan	50302
country_exposure	Kazakhstan	100855
country_exposure	Kuwait	73068
country_exposure	Lebanon	7121
country_exposure	Sri Lanka	2880
country_exposure	Morocco	35195
country_exposure	Moldova	28223
country_exposure	Mexico	492522
country_exposure	Myanmar	360
country_exposure	Mongolia	293
country_exposure	Malaysia	9103
country_exposure	Niger	1162
country_exposure	Nigeria	47290
country_exposure	Norway	9751
country_exposure	Oman	82050
country_exposure	Pakistan	285191
country_exposure	Panama	76464
country_exposure	Peru	489680
country_exposure	Philippines	139538
country_exposure	Poland	52961
country_exposure	Portugal	53106
country_exposure	Romania	63762
country_exposure	Russia	895691
country_exposure	Saudi Arabia	291468
country_exposure	Senegal	11380
country_exposure	Singapore	55353
country_exposure	Kosovo	28497
country_exposure	Slovakia	2615
country_exposure	Sweden	83126
country_exposure	Turkey	243180
country_exposure	Taiwan	483
country_exposure	Uruguay	1406
country_exposure	USA	5141208
country_exposure	Venezuela	27938
country_exposure	Vietnam	866
country_exposure	South Africa	566109
